"Kod stacji","Nazwa stacji","Rok","Miesiąc","Dzień","Maksymalna temperatura dobowa","Status pomiaru TMAX","Minimalna temperatura dobowa","Status pomiaru TMIN","Średnia temperatura dobowa","Status pomiaru STD", "Temperatura minimalna przy gruncie","Status pomiaru TMNG","Suma dobowa opadu","Status pomiaru SMDB","Rodzaj opadu","Wysokość pokrywy śnieżnej","Status pomiaru PKSN","Równoważnik wodny śniegu","Status pomiaru RWSN","Usłonecznienie","Status pomiaru USL","Czas trwania opadu deszczu","Status pomiaru DESZ","Czas trwania opadu śniegu","Status pomiaru SNEG","Czas trwania opadu deszczu ze śniegiem","Status pomiaru DISN","Czas trwania gradu","Status pomiaru GRAD","Czas trwania mgły","Status pomiaru MGLA","Czas trwania zamglenia","Status pomiaru ZMGL","Czas trwania sadzi","Status pomiaru SADZ","Czas trwania gołoledzi","Status pomiaru GOLO","Czas trwania zamieci śnieżnej niskiej","Status pomiaru ZMNI","Czas trwania zamieci śnieżnej wysokiej","Status pomiaru ZMWS","Czas trwania zmętnienia","Status pomiaru ZMET","Czas trwania wiatru >=10m/s","Status pomiaru FF10","Czas trwania wiatru >15m/s","Status pomiaru FF15","Czas trwania burzy","Status pomiaru BRZA","Czas trwania rosy","Status pomiaru ROSA","Czas trwania szronu","Status pomiaru SZRO","Wystąpienie pokrywy śnieżnej","Status pomiaru DZPS","Wystąpienie błyskawicy","Status pomiaru DZBL","Stan gruntu","Izoterma dolna","Status pomiaru IZD","Izoterma górna","Status pomiaru IZG","Aktynometria","Status pomiaru AKTN"
"351220495","LUBLIN-RADAWIEC","2018","01","13",-2.0,"",-4.8,"",-3.2,"",-5.0,"",.0,"","S",0,"",.0,"9",.3,"",.0,"9",3.0,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","",13,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","14",-4.6,"",-7.2,"",-6.4,"",-6.9,"",.0,"","S",0,"",.0,"9",.0,"9",.0,"9",15.4,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","",16,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","15",-5.6,"",-8.4,"",-7.5,"",-8.4,"",.0,"","S",0,"",.0,"9",3.5,"",.0,"9",6.4,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","",19,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","16",-2.6,"",-10.7,"",-7.1,"",-10.9,"",3.3,"","S",0,"9",.0,"9",2.9,"",.0,"9",5.2,"",.0,"9",.0,"9",.0,"9",4.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","Z",27,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","17",2.1,"",-6.0,"",-.4,"",-5.8,"",.0,"","S",4,"",.0,"9",2.9,"",.0,"9",5.1,"",.0,"9",.0,"9",.0,"9",5.0,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",2.3,"",1,"",0,"","",25,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","18",1.9,"",-2.6,"",-.2,"",-5.1,"",4.9,"","S",3,"",.0,"9",2.6,"",.0,"9",12.4,"",.0,"9",.0,"9",.0,"9",5.0,"",.0,"9",.0,"9",4.0,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",1,"",0,"","Z",22,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","19",1.3,"",-1.4,"",.3,"",-1.4,"",.7,"","S",10,"",1.4,"",.0,"9",.1,"",12.6,"",.0,"9",.0,"9",.0,"9",9.7,"",.0,"9",.0,"9",5.6,"",4.6,"",.0,"9",.6,"",.0,"9",.0,"9",.0,"9",.0,"9",1,"",0,"","Z",22,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","20",1.1,"",-3.7,"",-1.1,"",-6.7,"",.8,"","S",12,"",1.5,"",2.6,"",.0,"9",5.2,"",.0,"9",.0,"9",.2,"",18.3,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",1,"",0,"","Z",20,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","21",-.7,"",-3.4,"",-2.4,"",-4.7,"",.0,"9","",12,"",1.7,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",8.3,"",14.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",1,"",0,"","Z",20,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","22",-2.2,"",-6.4,"",-4.4,"",-10.4,"",.0,"","S",12,"",1.4,"",.0,"9",.0,"9",6.5,"",.0,"9",.0,"9",.0,"9",8.3,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",7.0,"",1,"",0,"","",20,"",0,"9",0,"8"
